paintingId,painting_name,artist,date,painting_style,painting_genre
0_0302,Vannes vue de Langles,Jean Frélaut,1922,Expressionism,"['Landscape', 'Cityscape']"
0_0301,Cathédrale de Rouen,Pierre Dumont,Circa 1925,Expressionism,"['Landscape', 'History painting']"
1_5779,Barque de pêche à Chôshiura dans la province de Shimousa,Shôtei Hokuju,Last quarter 17th century - First quarter 17th century,Baroque,"['Landscape', 'History painting']"
1_0016,Portrait d'Edmond de Goncourt,Jean-François Raffaëlli,1888,Realism,['Portrait']
1_5911,Gitane,Aimé-Nicolas Morot,Before 1913,Art Nouveau,"['Portrait', 'Nude painting']"
1_0124,Vue de la ville et du port de Dieppe,Eugène Isabey,1842,Romanticism,"['Landscape', 'Cityscape']"
1_5899,Episode du siège de Metz,Charles-Laurent Maréchal,1835,Romanticism,"['History painting', 'Landscape']"
1_0053,Charles le Téméraire retrouvé mort après la bataille de Nancy,Auguste Feyen-Perrin,1865,Realism,"['History painting', 'Portrait']"
1_5901,Escalier de la galerie des Cerfs au Palais ducal de Nancy,Jean-Joseph Thorelle,1838,Rococo,"['History painting', 'Landscape']"
1_5892,Raphaël dessinant dans la campagne de Rome,Alexandre-Marie Colin,1857,Romanticism,"['Portrait', 'History painting']"
1_6000,"Portrait d'Emma Schroekinger, ""La stella di Venezia""",Louis-Auguste Schwiter,1857,Romanticism,"['Portrait', 'History painting']"
1_0144,Portrait de Jacques-Philippe Voïart,Taco I Scheltema,1811,Rococo,['Portrait']
1_5888,Portrait de Louise-Elisabeth Dufresne,Jean Girardet,Circa 1770,Rococo,['Portrait']
1_5905,Portrait d'Elisabeth-Charlotte de Bavière,Nicolas Larguillière,Circa 1678,Rococo,['Portrait']
1_0158,Portrait de la Belle de Ludres / Portrait de la comtesse des Salles de Malpierre,Pierre Mignard,17th century,Baroque,['Portrait']
1_0152,Portrait d'un artiste en habit rouge,Etienne Aubry,Between 1771-1777,Rococo,['Portrait']
1_0150,Portrait présumé d'Emilie Charton,Adolf Ulrick Wertmüller,1781,Rococo,['Portrait']
1_0113,Tête de jeune fille,Jean-Baptiste Greuze,First half of the 18th century,Rococo,['Portrait']
1_0080,Le Coucher du soleil,Gregorio Guglielmi,Circa 1767-1768,Rococo,"['Landscape', 'Nature morte']"
1_0199,La Marchande d'Amours,Claude Michel,Circa 1765-1768,Rococo,"['Portrait', 'History painting']"
1_0133,Tullie faisant passer son char sur le corps de son père,François-Guillaume Ménageot,1765,Rococo,"['History painting', 'Nude painting']"
1_0131,Démosthène au pied de la statue de Neptune,Anonyme français,Before 1805,Neoclassicism,"['History painting', 'Portrait']"
1_5880,Scènes de carnaval 2,Bartolomeo Bianchini,After 1701,Rococo,"['Landscape', 'History painting']"
1_5878,Scènes de carnaval 1,Bartolomeo Bianchini,After 1701,Rococo,"['Landscape', 'History painting']"
1_0093,Les Oiseleurs,Alessandro Magnasco Dit Lissandrino,Circa 1721,Baroque,"['Landscape', 'History painting']"
1_0088,Paysage avec pont rustique,Giuseppe Zais,Circa 1760-1770,Rococo,"['Landscape', 'Nature morte']"
1_0176,Junon ordonne à Eole de détruire la flotte d'Enée,Samuel Massé,1727,Rococo,"['History painting', 'Religious painting']"
1_5860,Portrait de Barthélémy Guibal,Jean Girardet,1756,Rococo,['Portrait']
1_0160,Portrait d'un architecte,Jean-François Restout,1734,Rococo,['Portrait']
1_5866,Assomption,Charles de La Fosse,Circa 1682-1686,Baroque,"['History painting', 'Religious painting']"
1_0137,Vestales,Jean Raoux,1728,Rococo,"['History painting', 'Portrait']"
1_0135,Jahel et Sisara,Charles-André/ Carle Van Loo,Circa 1732-1734,Rococo,"['History painting', 'Portrait']"
1_5868,Saint François de Paule en prière,Charles Mellin,1st half 17th century,Baroque,"['History painting', 'Religious painting']"
1_0274,Le songe de Jacob,Lodovico Cigoli,1593,Renaissance,"['History painting', 'Portrait']"
1_0276,Le Christ au tombeau,Valerio Castello,Circa 1650-1659,Baroque,"['History painting', 'Religious painting']"
1_0280,Le Baptême du Christ,Jusepe de Ribera,1643,Baroque,"['History painting', 'Religious painting']"
1_0272,La Circoncision,Tommaso Luini,Circa 1632,Renaissance,"['History painting', 'Religious painting']"
1_0270,Mariage mystique de sainte Catherine,Bartolomeo Biscaino,First half of the 17th century,Baroque,"['History painting', 'Religious painting']"
1_0218,Baptême du centurion Corneille à Césarée,Aubin Vouet,Circa 1639,Baroque,"['History painting', 'Portrait']"
1_0220,L'Amour qui se venge,Simon Vouet,Circa 1634,Baroque,"['History painting', 'Portrait']"
1_0222,Nymphe essayant les flèches de l'Amour,Simon Vouet,Circa 1635,Baroque,"['History painting', 'Portrait']"
1_6003,Bacchanale,Jacques Blanchard,1636,Baroque,"['History painting', 'Nude painting']"
1_0243,Vierge et l'Enfant,Pierre Mignard,Circa 1650-1655,Baroque,"['Portrait', 'History painting']"
1_0247,"La Vierge, l'Enfant Jésus et saint Jean-Baptiste",Lubin Baugin,After 1641,Baroque,"['History painting', 'Religious painting']"
1_0253,Le Christ chassant les marchands du temple,Charles Dauphin,Circa 1663,Baroque,"['History painting', 'Religious painting']"
1_0255,Le mépris du monde,Charles Dauphin,Circa 1645,Baroque,"['History painting', 'Portrait']"
1_0301,Corbeille de fleurs,Nicolas Baudesson,1673,Rococo,"['Nature morte', 'Still Life']"
1_0303,L'Automne,Alexandre-François Desportes,Circa 1711-1712,Rococo,"['Landscape', 'Nature morte']"
1_0311,Le Déjeuner de poisson,Jacob Fopsen Van Es,Before 1640,Baroque,"['History painting', 'Genre Painting']"
1_0320,Fruits d'Italie,Aniello Ascione,17th century (last quarter) - 18th century (1st quarter),Rococo,"['Nature morte', 'Still Life']"
1_0324,"Nature morte, écrevisse et poissons",Giuseppe Recco,Circa 1680,Baroque,"['Nature morte', 'Animal Painting']"
1_0335,Scène de bataille près d'une forteresse,Le Lorrain/Claude Gellée,Circa 1638,Baroque,"['History painting', 'Landscape']"
1_0358,Le Torrent,David II Teniers,Circa 1640,Baroque,"['Landscape', 'Nature morte']"
1_0356,Les patineurs,Jan Josephsz van Goyen,1649,Baroque,"['Landscape', 'Nature morte']"
1_0345,Paysage d'hiver,Gysbrecht Lytens,After 1600,Renaissance,"['Landscape', 'Nature morte']"
1_0341,Marine,Cavalier Tempesta/Pieter Mulier,After 1660,Baroque,"['Landscape', 'Nature morte']"
1_0337,La Tour en ruine,Jan Tilens,Circa 1625,Baroque,"['History painting', 'Landscape']"
1_0339,Fête de village flamand,Josse II de Momper,Undated,Baroque,"['History painting', 'Landscape']"
1_0360,La Diseuse de bonne aventure,David II Teniers,17th century,Baroque,"['History painting', 'Portrait']"
1_0395,Femme essuyant ses larmes,Anonyme napolitain,Mid-17th century,Rococo,"['Portrait', 'Nude painting']"
1_0389,La mélancolie,Domenico Fetti,After 1614,Baroque,"['Portrait', 'History painting']"
1_5874,La Joie de vivre,Victor Prouvé,1904,Art Nouveau,"['Landscape', 'Nature morte']"
1_0210,La Nymphe Nébula verse la pluie sur les fleurs,Henri-Léopold Lévy,1876,Romanticism,"['Landscape', 'Nature morte']"
1_0212,Byblis changée en source,Henri-Léopold Lévy,1876,Romanticism,"['History painting', 'Nude painting']"
0_5834,"Les Eléments, formes et couleurs",Théophile-Alexandre Steinlen,Circa 1900,Art Nouveau,"['Illustration', 'Landscape']"
0_5836,L'application à la décoration des brodeuses au métier et à l'aiguille,Théophile-Alexandre Steinlen,Circa 1900,Art Nouveau,"['Illustration', 'Portrait']"
0_5838,Fête de nuit,Théophile-Alexandre Steinlen,Circa 1900,Art Nouveau,"['Illustration', 'Nude painting']"
2_2852,Vierge à l'Enfant,Taddeo di Bartolo,Circa 1396-1397,Renaissance,"['History painting', 'Religious painting']"
2_2854,Saint Paul,Francesco Traini,Circa 1344-1345,Renaissance,"['History painting', 'Religious painting']"
2_2799,Sainte Lucie,Pseudo-Gioverone,Circa 1510,Renaissance,"['History painting', 'Portrait']"
2_2809,"Vierge à l'Enfant, saint Jean et deux anges",Pérugin,Circa 1505,Renaissance,"['History painting', 'Religious painting']"
2_2803,Vierge à l'enfant couronnée par deux anges,Maître de Marcadi,15th century,Renaissance,"['Religious painting', 'History painting']"
2_2812,Saint Jean-Baptiste dans le désert,Giovanni Larciani,1510-1512,Renaissance,"['History painting', 'Religious painting']"
2_2814,Tobie conduit par l'ange,Francesco Sogliani,Circa 1515,Renaissance,"['History painting', 'Portrait']"
2_2816,Le Jugement dernier,Hans Leonhard Schäuffelein,1535,Renaissance,"['History painting', 'Religious painting']"
2_2863,La Présentation de Jésus au temple,Noël Bellemare,Late 15th century - Early 16th century,Renaissance,"['History painting', 'Religious painting']"
2_2822,La Mise au tombeau,Wilheim Stetter,1536,Renaissance,"['History painting', 'Religious painting']"
2_2824,L'Apparition du Christ à Marie-Madeleine,Wilheim Stetter,1523,Renaissance,"['History painting', 'Religious painting']"
2_2827,Pietà avec des anges,Frederico Zuccaro,Circa 1570,Renaissance,"['History painting', 'Religious painting']"
2_2888,Adoration des bergers,Anonyme,16th century,Renaissance,"['History painting', 'Religious painting']"
